all_sz_list,所属行业,自选
002478,C 制造业,
002479,D 水电煤气,
002480,C 制造业,
002481,C 制造业,
002482,E 建筑业,
002483,C 制造业,
002484,C 制造业,
002485,N 公共环保,
002486,C 制造业,
002487,C 制造业,
002488,C 制造业,
002489,C 制造业,
002490,C 制造业,
002491,C 制造业,
002492,G 运输仓储,
002493,C 制造业,
002494,C 制造业,
002495,C 制造业,
002496,C 制造业,
002497,C 制造业,
002498,C 制造业,
002499,D 水电煤气,
002500,J 金融业,
002501,C 制造业,
002502,R 文化传播,
002503,C 制造业,
002504,E 建筑业,
002505,F 批发零售,
002506,C 制造业,
002507,C 制造业,
002508,C 制造业,
002510,C 制造业,
002511,C 制造业,
002512,C 制造业,
002513,C 制造业,
002514,C 制造业,
002515,C 制造业,
002516,C 制造业,
002517,I 信息技术,
002518,C 制造业,
002519,C 制造业,
002520,C 制造业,
002521,C 制造业,
002522,C 制造业,
002523,C 制造业,
002524,Q 卫生,
002526,C 制造业,
002527,C 制造业,
002528,C 制造业,
002529,C 制造业,
002530,I 信息技术,
002531,C 制造业,
002532,C 制造业,
002533,C 制造业,
002534,C 制造业,
002535,C 制造业,
002536,C 制造业,
002537,C 制造业,
002538,C 制造业,
002539,C 制造业,
002540,C 制造业,
002541,C 制造业,
002542,E 建筑业,
002543,C 制造业,
002544,I 信息技术,
002545,C 制造业,
002546,C 制造业,
002547,C 制造业,
002548,C 制造业,
002549,N 公共环保,
002550,C 制造业,
002551,C 制造业,
002552,C 制造业,
002553,C 制造业,
002554,B 采矿业,
002555,I 信息技术,
002556,F 批发零售,
002557,C 制造业,
002558,I 信息技术,
002559,C 制造业,
002560,C 制造业,
002561,F 批发零售,
002562,C 制造业,
002563,C 制造业,
002564,E 建筑业,
002565,C 制造业,
002566,C 制造业,
002567,C 制造业,
002568,C 制造业,
002569,C 制造业,
002570,C 制造业,
002571,C 制造业,
002572,C 制造业,
002573,N 公共环保,
002574,C 制造业,*
002575,C 制造业,
002576,C 制造业,
002577,C 制造业,
002578,C 制造业,
002579,C 制造业,
002580,C 制造业,
002581,C 制造业,
002582,C 制造业,
002583,C 制造业,
002584,C 制造业,
002585,C 制造业,
002586,E 建筑业,
002587,C 制造业,
002588,C 制造业,
002589,F 批发零售,
002590,C 制造业,
002591,C 制造业,
002592,C 制造业,
002593,C 制造业,
002594,C 制造业,
002595,C 制造业,
002596,C 制造业,
002597,C 制造业,
002598,C 制造业,
002599,C 制造业,
002600,C 制造业,
002601,C 制造业,
002602,I 信息技术,
002603,C 制造业,
002605,I 信息技术,
002606,C 制造业,
002607,P 教育,
002608,D 水电煤气,
002609,I 信息技术,
002610,C 制造业,
002611,C 制造业,
002612,C 制造业,
002613,C 制造业,
002614,C 制造业,
002615,C 制造业,
002616,N 公共环保,
002617,C 制造业,
002620,E 建筑业,
002621,P 教育,
002622,C 制造业,
002623,C 制造业,
002624,I 信息技术,
002625,C 制造业,
002626,C 制造业,
002627,G 运输仓储,
002628,E 建筑业,
002629,B 采矿业,
002630,C 制造业,
002631,C 制造业,
002632,C 制造业,
002633,C 制造业,
002634,C 制造业,
002635,C 制造业,
002636,C 制造业,
002637,C 制造业,
002638,C 制造业,
002639,C 制造业,
002640,F 批发零售,
002641,C 制造业,
002642,I 信息技术,
002643,C 制造业,
002644,C 制造业,
002645,C 制造业,
002646,C 制造业,
002647,J 金融业,
002648,C 制造业,
002649,I 信息技术,
002650,C 制造业,
002651,C 制造业,
002652,C 制造业,
002653,C 制造业,
002654,L 商务服务,
002655,C 制造业,
002656,C 制造业,
002657,I 信息技术,
002658,C 制造业,
002659,P 教育,
002660,C 制造业,
002661,C 制造业,
002662,C 制造业,
002663,E 建筑业,
002664,C 制造业,
002665,C 制造业,
002666,C 制造业,
002667,C 制造业,
002668,C 制造业,
002669,C 制造业,
002670,J 金融业,
002671,C 制造业,
002672,C 制造业,
002673,J 金融业,
002674,C 制造业,
002675,C 制造业,
002676,C 制造业,
002677,C 制造业,
002678,C 制造业,
002679,A 农林牧渔,
002681,C 制造业,
002682,G 运输仓储,
002683,B 采矿业,
002685,C 制造业,
002686,C 制造业,
002687,C 制造业,
002688,C 制造业,
002689,C 制造业,
002690,C 制造业,
002691,C 制造业,
002692,C 制造业,
002693,C 制造业,
002694,C 制造业,
002695,C 制造业,
002696,A 农林牧渔,
002697,F 批发零售,
002698,C 制造业,
002699,R 文化传播,
002700,D 水电煤气,
002701,C 制造业,
002702,C 制造业,
002703,C 制造业,
002705,C 制造业,
002706,C 制造业,
002707,L 商务服务,
002708,C 制造业,
002709,C 制造业,
002712,L 商务服务,
002713,E 建筑业,
002714,A 农林牧渔,
002715,C 制造业,
002716,C 制造业,
002717,N 公共环保,
002718,C 制造业,
002719,C 制造业,
002721,C 制造业,
002722,C 制造业,
002723,C 制造业,
002724,C 制造业,
002725,C 制造业,
002726,C 制造业,
002727,F 批发零售,
002728,C 制造业,
002729,C 制造业,
002730,C 制造业,
002731,C 制造业,
002732,C 制造业,
002733,C 制造业,
002734,C 制造业,
002735,C 制造业,
002736,J 金融业,
002737,C 制造业,
002738,C 制造业,
002739,R 文化传播,
002740,C 制造业,
002741,C 制造业,
002742,C 制造业,
002743,C 制造业,
002745,C 制造业,
002746,C 制造业,
002747,C 制造业,
002748,C 制造业,
002749,C 制造业,
002750,C 制造业,
002751,C 制造业,
002752,C 制造业,
002753,C 制造业,
002755,C 制造业,
002756,C 制造业,
002757,C 制造业,
002758,F 批发零售,
002759,C 制造业,
002760,C 制造业,
002761,E 建筑业,
002762,C 制造业,
002763,C 制造业,
002765,C 制造业,
002766,C 制造业,
002767,C 制造业,
002768,C 制造业,
002769,L 商务服务,
002771,I 信息技术,
002772,A 农林牧渔,
002773,C 制造业,
002774,C 制造业,
002775,E 建筑业,
002776,M 科研服务,
002777,I 信息技术,
002778,C 制造业,
002779,C 制造业,
002780,F 批发零售,
002781,E 建筑业,*
002782,C 制造业,
002783,C 制造业,
002785,C 制造业,
002786,C 制造业,
002787,C 制造业,
002788,F 批发零售,
002789,E 建筑业,
002790,C 制造业,
002791,C 制造业,
002792,C 制造业,
002793,C 制造业,
002795,C 制造业,
002796,C 制造业,
002797,J 金融业,
002798,C 制造业,
002799,C 制造业,
002800,G 运输仓储,
002801,C 制造业,
002802,C 制造业,
002803,I 信息技术,
002805,C 制造业,
002806,C 制造业,
002807,J 金融业,
002808,C 制造业,
002809,C 制造业,
002810,C 制造业,
002811,E 建筑业,
002812,C 制造业,
002813,C 制造业,
002815,C 制造业,
002816,C 制造业,
002817,C 制造业,
002818,L 商务服务,
002819,F 批发零售,
002820,C 制造业,
002821,C 制造业,
002822,E 建筑业,
002823,C 制造业,
002824,C 制造业,
002825,C 制造业,
002826,C 制造业,
002827,C 制造业,
002828,B 采矿业,
002829,C 制造业,
002830,E 建筑业,
002831,C 制造业,
002832,C 制造业,
002833,C 制造业,
002835,C 制造业,
002836,C 制造业,
002837,C 制造业,
002838,C 制造业,
002839,J 金融业,
002840,C 制造业,
002841,C 制造业,
002842,C 制造业,
002843,C 制造业,
002845,C 制造业,
002846,C 制造业,
002847,C 制造业,
002848,C 制造业,
002849,C 制造业,
002850,C 制造业,
002851,C 制造业,
002852,C 制造业,
002853,C 制造业,
002855,C 制造业,
002856,E 建筑业,
002857,C 制造业,
002858,R 文化传播,
002859,C 制造业,
002860,C 制造业,
002861,C 制造业,
002862,C 制造业,
002863,C 制造业,
002864,C 制造业,
002865,C 制造业,
002866,C 制造业,
002867,C 制造业,
002868,C 制造业,
002869,C 制造业,
002870,C 制造业,
